locality,unified_locality
woluwe-saint-lambert,woluwe-saint-lambert
eupen,eupen
bornem,bornem
turnhout,turnhout
antwerpen,antwerpen
schaarbeek,schaarbeek
duffel,duffel
anzegem,anzegem
laeken,laeken
duffel,duffel
ronse,ronse
kortrijk-dutsel,kortrijk-dutsel
woluwe-saint-lambert,woluwe-saint-lambert
molenbeek-saint-jean,molenbeek-saint-jean
herentals,herentals
borgerhout,borgerhout
deurne,veurne
koekelberg,koekelberg
gentbrugge,gentbrugge
turnhout,turnhout
anderlecht,anderlecht
anderlecht,anderlecht
borgerhout,borgerhout
oud-turnhout,oud-turnhout
borgerhout,borgerhout
borgerhout,borgerhout
berchem,merchtem
antwerpen,antwerpen
uccle,uccle
berchem,merchtem
uccle,uccle
woluwe-saint-lambert,woluwe-saint-lambert
antwerpen,antwerpen
woluwe-saint-pierre,woluwe-saint-pierre
uccle,uccle
stabroek,stabroek
stabroek,stabroek
woluwe-saint-lambert,woluwe-saint-lambert
aarschot,aarschot
temse,temse
seraing,seraing
aywaille,aywaille
brakel,brakel
erpe-mere,erpe-mere
wavre,wavre
geel,geel
oppuurs,oppuurs
asse,asse
herentals,herentals
schaerbeek,schaerbeek
sint-laureins,sint-laureins
aartselaar,aartselaar
wemmel,wemmel
wetteren,wetteren
turnhout,turnhout
ronse,ronse
ronse,ronse
antwerpen (),antwerpen
ronse,ronse
ronse,ronse
kontich,kontich
deurne (),deurne
deurne,veurne
beveren-waas,beveren-waas
willebroek,willebroek
gentbrugge,gentbrugge
saint-nicolas,saint-nicolas
ixelles,ixelles
middelkerke,middelkerke
saint-nicolas,saint-nicolas
wetteren,wetteren
ronse,ronse
bree,bree
destelbergen,destelbergen
ixelles,ixelles
hoeilaart,hoeilaart
sint-katelijne-waver,sint-katelijne-waver
hoeilaart,hoeilaart
vosselaar,vosselaar
ronse,ronse
duffel,duffel
oud-turnhout,oud-turnhout
dessel,dessel
halle,halle
antwerpen merksem,antwerpen merksem
nieuwkerke,nieuwerkerken
evere,evere
soignies,soignies
malderen,malderen
oudenaarde,oudenaarde
dendermonde,dendermonde
mechelen,mechelen
aalst (),aalst
lier,lier
oostende,oostende
oostende,oostende
gent,gent
schoten,schoten
herstal,herstal
anderlecht,anderlecht
oostende,oostende
oostende,oostende
seraing,seraing
grâce-hollogne,grâce-hollogne
ruisbroek (sint-pieters-leeuw),ruisbroek
kortemark,kortemark
antwerpen,antwerpen
geraardsbergen,geraardsbergen
deurne,veurne
gent,gent
berchem,merchtem
gent,gent
seraing,seraing
uccle,uccle
deurne,veurne
antwerpen,antwerpen
turnhout,turnhout
antwerpen,antwerpen
turnhout,turnhout
kortrijk,kortrijk
gent,gent
deinze,deinze
schaerbeek,schaerbeek
anderlecht,anderlecht
jette,jette
turnhout,turnhout
molenbeek-saint-jean,molenbeek-saint-jean
anderlecht,anderlecht
woluwe-saint-pierre - sint-pieters-woluwe,woluwe-saint-pierre - sint-pieters-woluwe
gent,gent
woluwe-saint-lambert,woluwe-saint-lambert
lasne,lasne
uccle,uccle
woluwe-saint-pierre,woluwe-saint-pierre
sint-niklaas,sint-niklaas
ham,ham
duffel,duffel
antwerpen (),antwerpen
zingem,zingem
waremme,waremme
lot,lot
wemmel,wemmel
schilde,schilde
saint-gilles,saint-gilles
turnhout,turnhout
oostende,oostende
ronse,ronse
weelde,weelde
beersel,beersel
ixelles,ixelles
woluwe-saint-lambert,woluwe-saint-lambert
uccle,uccle
halle,halle
saint-gilles,saint-gilles
ixelles,ixelles
ixelles,ixelles
ixelles,ixelles
denderleeuw,denderleeuw
brugge,brugge
westerlo,westerlo
assebroek,assebroek
uccle,uccle
verviers,verviers
ronse,ronse
lier,lier
de pinte,de pinte
mettet,mettet
antwerpen (),antwerpen
antwerpen,antwerpen
nazareth,nazareth
eeklo,eeklo
oostende,oostende
borgerhout,borgerhout
blankenberge,blankenberge
hasselt,hasselt
denderwindeke,denderwindeke
haaltert,haaltert
dendermonde,dendermonde
oudenaarde,oudenaarde
heist-op-den-berg,heist-op-den-berg
